  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Drew Point Test Well #1 
281.03  -1.776
281.33  -1.762
281.64  -1.748
281.94  -1.734
282.24  -1.720
282.55  -1.706
282.85  -1.692
283.16  -1.678
283.46  -1.665
283.77  -1.651
284.07  -1.637
284.38  -1.623
284.68  -1.609
284.99  -1.595
285.29  -1.581
285.60  -1.567
285.90  -1.553
286.21  -1.539
286.51  -1.524
286.82  -1.510
287.12  -1.496
287.43  -1.482
287.73  -1.468
288.04  -1.454
288.34  -1.440
288.65  -1.427
288.95  -1.413
289.26  -1.399
289.56  -1.386
289.86  -1.372
290.17  -1.359
290.47  -1.346
290.78  -1.333
291.08  -1.320
291.39  -1.308
291.69  -1.295
